City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Ust-Maya,60.42,134.53,overcast clouds,31.17,90,98,6.46,RU,2020-05-09 22:25:40,0,0
1,Bluff,-46.6,168.33,broken clouds,53.53,74,60,10.29,NZ,2020-05-09 22:24:45,0,0
2,Nikolskoye,59.7,30.79,clear sky,41.0,64,2,4.47,RU,2020-05-09 22:25:41,0,0
3,Laguna,38.42,-121.42,clear sky,91.99,14,1,6.93,US,2020-05-09 22:25:41,0,0
4,Nouadhibou,20.93,-17.03,scattered clouds,67.53,76,45,25.01,MR,2020-05-09 22:25:41,0,0
5,Patna,25.6,85.12,haze,82.4,83,0,4.7,IN,2020-05-09 22:25:41,0,0
6,Mataura,-46.19,168.86,scattered clouds,51.67,72,48,3.91,NZ,2020-05-09 22:24:38,0,0
7,Richards Bay,-28.78,32.04,clear sky,65.43,91,2,3.8,ZA,2020-05-09 22:25:41,0,0
8,Albany,42.6,-73.97,broken clouds,39.99,59,81,3.0,US,2020-05-09 22:25:42,0,0
9,Rikitea,-23.12,-134.97,overcast clouds,75.51,70,87,3.44,PF,2020-05-09 22:25:42,0,0
10,Bonthe,7.53,-12.51,overcast clouds,81.18,86,100,7.11,SL,2020-05-09 22:25:42,0,0
11,Ushuaia,-54.8,-68.3,overcast clouds,44.6,81,88,6.93,AR,2020-05-09 22:25:42,0,0
12,Ranong,9.97,98.63,overcast clouds,81.14,81,99,3.65,TH,2020-05-09 22:25:42,0,0
13,New Norfolk,-42.78,147.06,few clouds,48.0,82,15,1.01,AU,2020-05-09 22:24:42,0,0
14,La Roche-Sur-Yon,46.67,-1.43,thunderstorm with rain,60.8,93,37,5.82,FR,2020-05-09 22:25:42,0,0
15,Tasiilaq,65.61,-37.64,overcast clouds,32.0,89,100,14.99,GL,2020-05-09 22:25:43,0,0
16,Busselton,-33.65,115.33,clear sky,39.0,75,0,3.27,AU,2020-05-09 22:25:43,0,0
17,Hochst,47.46,9.64,moderate rain,62.6,72,90,9.17,AT,2020-05-09 22:25:43,0,0
18,Gbadolite,4.28,21.02,scattered clouds,69.39,93,50,1.43,CD,2020-05-09 22:25:43,0,0
19,Upernavik,72.79,-56.15,overcast clouds,20.12,93,100,12.59,GL,2020-05-09 22:25:43,0,0
20,Thompson,55.74,-97.86,broken clouds,37.4,37,75,19.46,CA,2020-05-09 22:22:03,0,0
21,Padang,-0.95,100.35,overcast clouds,79.14,70,91,3.31,ID,2020-05-09 22:25:11,0,0
22,Avarua,-21.21,-159.78,few clouds,82.4,78,12,17.22,CK,2020-05-09 22:22:52,0,0
23,Itarema,-2.92,-39.92,light rain,78.26,85,5,6.08,BR,2020-05-09 22:25:44,0,0
24,Puerto Madero,14.72,-92.42,few clouds,91.4,59,20,11.41,MX,2020-05-09 22:25:44,0,0
25,Estacion Coahuila,32.19,-115.0,few clouds,102.2,11,20,6.93,MX,2020-05-09 22:25:44,0,0
26,Tessalit,20.2,1.01,clear sky,83.55,14,3,1.95,ML,2020-05-09 22:25:44,0,0
