City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bluff,NZ,53.53,broken clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
2,Nikolskoye,RU,41.0,clear sky,59.7,30.79,Tourist House - Sablino
6,Mataura,NZ,51.67,scattered clouds,-46.19,168.86,Ellie's Villa
11,Ushuaia,AR,44.6,overcast clouds,-54.8,-68.3,Albatros Hotel
13,New Norfolk,AU,48.0,few clouds,-42.78,147.06,The Shingles Riverside Cottages
15,Tasiilaq,GL,32.0,overcast clouds,65.61,-37.64,The Red House
16,Busselton,AU,39.0,clear sky,-33.65,115.33,Observatory Guest House
19,Upernavik,GL,20.12,overcast clouds,72.79,-56.15,Gina's Guesthouse - Upernavik
20,Thompson,CA,37.4,broken clouds,55.74,-97.86,Burntwood Hotel
29,Kenora,CA,44.6,broken clouds,49.82,-94.43,Maynard Lake Lodge
30,Yellowknife,CA,37.4,few clouds,62.46,-114.35,The Explorer Hotel
32,Cherskiy,RU,40.19,overcast clouds,68.75,161.3,Gostinitsa
34,Nelson Bay,AU,57.0,clear sky,-32.72,152.15,Mantra Nelson Bay
40,Castro,BR,54.19,clear sky,-24.79,-50.01,CHACARA BAILLY
43,Jamestown,US,37.0,light rain,42.1,-79.24,Hampton Inn & Suites Jamestown
44,Aksay,RU,50.0,scattered clouds,47.26,39.87,Chernaya Zhemchuzhina
49,Luderitz,,57.2,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
52,Nelspruit,ZA,59.0,clear sky,-25.47,30.97,Leaves Lodge and Spa
54,Kruisfontein,ZA,59.63,clear sky,-34.0,24.73,Oyster Bay House Rental
60,Pevek,RU,37.72,overcast clouds,69.7,170.31,Severnoye Zoloto
61,Leshukonskoye,RU,38.34,clear sky,64.9,45.76,Gostinitsa Mup Zhkkh
63,Roald,NO,37.99,light snow,62.58,6.13,Flem Cabins
71,Severnyy,RU,46.4,clear sky,50.68,36.55,Full House North Mini-Hotel
75,Barrow,US,28.4,clear sky,71.29,-156.79,King Eider Inn
76,Cape Town,ZA,59.0,fog,-33.93,18.42,Southern Sun Waterfront Cape Town
79,Dudinka,RU,30.2,broken clouds,69.41,86.18,Hotel Viktoria
80,Varhaug,NO,42.8,light rain,58.61,5.65,Dancenter Gurihuset
81,Punta Arenas,CL,42.8,overcast clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
83,Vestmanna,FO,30.2,light snow,62.16,-7.17,Budget Guesthouse Borgustova
85,Asau,RO,50.0,broken clouds,46.43,26.4,Casa Mika Ciobanus
90,Kodiak,US,44.6,light rain,57.79,-152.41,Best Western Kodiak Inn and Convention Center
95,Narrabri,AU,52.0,clear sky,-30.32,149.78,Crossroads Hotel
101,Haukipudas,FI,35.6,clear sky,65.18,25.35,Samantta Hotel & Restaurant
104,Magadan,RU,37.87,broken clouds,59.57,150.8,Magadan hotel
109,Chapais,CA,28.4,light snow,49.78,-74.85,Hôtel Opémiska
115,Esperance,AU,46.4,clear sky,-33.87,121.9,Hospitality Esperance
116,Colac,AU,42.01,few clouds,-38.33,143.58,Otway Gate Motel
118,Klaksvik,FO,30.2,light snow,62.23,-6.59,Airbnb rooms
121,Lebu,CL,57.76,light rain,-37.62,-73.65,Hostal Las Lilas
122,Airai,TL,56.88,overcast clouds,-8.93,125.41,Juvinal Martin
125,Hobart,AU,48.0,scattered clouds,-42.88,147.33,St Ives Apartments
127,Joshimath,IN,51.96,scattered clouds,30.57,79.57,Shivalik Camps & Resort
132,Iqaluit,CA,37.4,broken clouds,63.75,-68.51,Frobisher Inn
133,Tuktoyaktuk,CA,35.6,scattered clouds,69.45,-133.04,End of The Road Ltd.
135,Ilulissat,GL,32.0,light rain,69.22,-51.1,Hotel Arctic
136,Zhangye,CN,50.47,scattered clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
137,Flinders,AU,53.01,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
141,Dzhubga,RU,53.38,broken clouds,44.32,38.7,Paradise
148,Kyshtym,RU,57.74,overcast clouds,55.71,60.55,Country House on Kurortnaya 65
150,Bayburt,TR,39.4,light rain,40.26,40.23,Bayburt Otel Konaklama
155,Tuatapere,NZ,56.19,overcast clouds,-46.13,167.68,Tom Cruse Refreshment Company
156,Tolbazy,RU,59.0,scattered clouds,54.02,55.88,Business Centre
160,Yar-Sale,RU,34.25,overcast clouds,66.83,70.83,Yalemd
166,Sioux Lookout,CA,42.8,broken clouds,50.1,-91.92,Knobby's Fly-In Camps
169,Saldanha,ZA,59.0,clear sky,-33.01,17.94,Blue Bay Lodge
171,Erzincan,TR,41.0,overcast clouds,39.75,39.5,Eriza Boutique Hotel
174,The Pas,CA,42.8,few clouds,53.83,-101.25,Wescana Inn
176,Stromness,GB,39.2,light rain,58.97,-3.3,The Old Smokery
180,Honningsvag,NO,35.06,light snow,70.98,25.97,Nordkapp Vandrerhjem
184,Kurumkan,RU,38.28,scattered clouds,54.3,110.3,Ilikchin
185,Killybegs,IE,51.8,overcast clouds,54.63,-8.45,Tara Hotel
188,Nanortalik,GL,42.08,scattered clouds,60.14,-45.24,"NTS Rooms, Nanortalik"
191,Toropets,RU,44.13,few clouds,56.5,31.64,Hotel Krivitesk
194,Promyshlennovskiy,RU,53.6,clear sky,55.48,86.2,Dom Kul'tury
201,Constitucion,CL,56.64,few clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
204,Coquimbo,CL,55.4,broken clouds,-29.95,-71.34,Hotel San Juan
205,Port Lincoln,AU,55.33,light rain,-34.73,135.87,Port Lincoln Hotel
206,Margate,GB,57.0,broken clouds,51.38,1.39,Premier Inn Margate hotel
209,Torbay,CA,46.99,overcast clouds,47.67,-52.73,Gallows Cove
210,Bethel,US,41.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
211,Coihaique,CL,44.6,moderate rain,-45.58,-72.07,Diego De Almagro Coyhaique
214,Oga,IT,53.6,overcast clouds,46.46,10.35,Hotel San Lorenzo
225,Chuy,UY,57.42,broken clouds,-33.7,-53.46,Nuevo Hotel Plaza
230,Piet Retief,ZA,48.92,clear sky,-27.01,30.81,Arabian Nite Guest House
232,Te Anau,NZ,52.86,light rain,-45.42,167.72,Kingsgate Hotel Te Anau
234,Enkoping,SE,42.01,broken clouds,59.64,17.08,Best Western Hotel Park Astoria
235,Yarim,YE,58.05,scattered clouds,14.3,44.38,بقاله ابو محظار
238,Zivinice,BA,56.97,clear sky,44.45,18.65,Jet Star
240,Kostomuksha,RU,33.15,overcast clouds,64.57,30.58,Apartments on Lenina 17
244,Kiruna,SE,26.6,scattered clouds,67.86,20.23,Camp Ripan
246,Jiexiu,CN,54.16,clear sky,37.02,111.91,IU Hotel Jinzhong Yuhua Road
253,Palencia,ES,55.0,overcast clouds,42.42,-4.5,Hotel Area de Servicio Los Chopos
255,Amga,RU,29.64,scattered clouds,60.9,131.96,Algys
261,Hamilton,US,55.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
263,Zhongxing,CN,57.97,scattered clouds,33.7,118.68,New Century Grand Hotel Siyang
264,Hofn,IS,32.9,broken clouds,64.25,-15.21,Hótel Höfn
277,Narsaq,GL,50.0,scattered clouds,60.92,-46.05,Hotel Narsaq
278,Ereymentau,KZ,55.74,clear sky,51.62,73.1,"Gostinitsa ""Alem"""
279,Sisimiut,GL,37.17,overcast clouds,66.94,-53.67,Hotel Sisimiut
280,Turukhansk,RU,32.59,overcast clouds,65.82,87.98,"ООО ""Туруханская пушнина"""
288,Raymond Terrace,AU,57.99,clear sky,-32.75,151.75,Sleepy Hill Motor Inn
292,Imeni Poliny Osipenko,RU,45.34,clear sky,52.42,136.49,Yubileynaya
293,Jinan,CN,59.0,clear sky,36.67,117.0,Sofitel Silver Plaza Hotel Jinan
295,Nuuk,GL,44.6,broken clouds,64.18,-51.72,Vandrehuset
301,Tandil,AR,59.0,clear sky,-37.32,-59.13,HOSTAL DE LA SIERRA TANDIL
303,Grand Island,US,50.0,light rain,40.92,-98.34,Fairfield Inn & Suites by Marriott Grand Island
304,Nome,US,46.4,clear sky,64.5,-165.41,Dredge 7 Inn
305,Mehamn,NO,29.8,overcast clouds,71.04,27.85,Mehamn Arctic Hotel AS
307,Fort Nelson,CA,53.6,scattered clouds,58.81,-122.7,The Fort Nelson Hotel
308,Bilibino,RU,36.45,overcast clouds,68.05,166.44,Gostinitsa Severyanka
310,Maniitsoq,GL,40.66,overcast clouds,65.42,-52.9,Hotel Heilmann Lyberth
317,Umea,SE,39.2,broken clouds,63.83,20.26,Hotel Avenue | ProfilHotels
318,Astana,KZ,59.0,overcast clouds,51.18,71.45,King Hotel Astana
322,Ust-Kan,RU,47.21,clear sky,50.93,84.76,Mini-hotel na Leninskoy
324,Saint Anthony,US,55.4,light rain,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
325,Ryki,PL,53.01,clear sky,51.63,21.93,Pokoje Pracownicze Ryki
333,Kishtwar,IN,55.81,overcast clouds,33.32,75.77,Heritage Bagh by Himalayan Musk
335,Dolinsk,RU,48.2,few clouds,47.35,142.8,"Gostinitsa ""Yubileynaya"""
337,Hami,CN,54.39,clear sky,42.8,93.45,Laoyutang Resort
338,Dharchula,IN,58.55,broken clouds,29.85,80.53,Mahara Hotel
341,Oksfjord,NO,32.0,broken clouds,70.24,22.35,Bobo
342,Willowmore,ZA,57.69,clear sky,-33.29,23.49,Jumper's Place
345,Yuncheng,CN,51.93,clear sky,35.02,110.99,晋州快捷酒店
346,Kolpashevo,RU,58.08,overcast clouds,58.31,82.91,Gostinitsa Legenda
347,Westport,US,39.99,overcast clouds,41.14,-73.36,The Westport Inn
348,Codrington,AU,46.2,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
349,Talnakh,RU,30.2,broken clouds,69.49,88.4,Talnakh Hotel
351,Palmer,US,43.0,scattered clouds,42.16,-72.33,Wedgewood Motel
354,Severo-Kurilsk,RU,33.46,overcast clouds,50.68,156.12,Kak Doma
355,Saskylakh,RU,21.33,light snow,71.92,114.08,Saskylakh Aeroport
360,Jiuquan,CN,45.93,clear sky,39.74,98.52,Jiuquan Hotel
361,Boditi,ET,59.38,light rain,6.97,37.87,Me'aza Metasebiya Hotel.
365,Kaitangata,NZ,51.01,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
371,Port Hawkesbury,CA,41.0,overcast clouds,45.62,-61.35,MacKenzie House Tourist Home B&B
373,Wladyslawowo,PL,50.0,clear sky,54.79,18.4,Gwiazda Morza Resort SPA&SPORT
376,Yoichi,JP,54.0,light intensity shower rain,43.2,140.77,Marumatta Farm 21
386,Szczytno,PL,43.07,clear sky,53.56,20.99,Noclegi Marusa
387,Rocha,UY,53.64,scattered clouds,-34.48,-54.33,Beleza Pura B&B
388,Lubango,AO,59.83,broken clouds,-14.92,13.49,Hotel Serra da Chela
389,Norman Wells,CA,46.4,clear sky,65.28,-126.83,Heritage Hotel
391,Valley City,US,41.0,light snow,46.92,-98.0,AmericInn by Wyndham Valley City Conference Center
393,Anadyr,RU,33.8,rain and snow,64.75,177.48,"Гостиница ""Анадырь"""
